メッセージID,ルールID,機能ID,推奨機能,機能カテゴリ,操作特性,推奨ロジック,シーン説明,メッセージテンプレート,対応方針,優先度
MSG_CALL_001,R001,FN001,ACC,運転支援,一度ONで継続,初回のみ推奨,渋滞時・初心者・未使用,【推奨回答】渋滞追従機能は、渋滞時にブレーキとアクセルの操作を自動化します。低速で安全に練習できるため、初めての方にもお勧めです。ステアリングの右側にあるスイッチで操作できます,丁寧に説明・操作方法を詳しく,高
MSG_CALL_002,R004,FN003,PVM,駐車支援,都度操作,毎回推奨,駐車場・初心者・未使用,【推奨回答】パノラミックビューモニターは、車を上から見たように表示します。ディスプレイオーディオの「カメラ」ボタンを押すと表示されます。狭い場所でも安心して駐車できます,丁寧に説明・操作方法を詳しく,高
MSG_CALL_003,R005,FN005,オートハイビーム,視認支援,一度ONで継続,初回のみ推奨,夜間一般道・初心者・未使用,【推奨回答】オートハイビームは、対向車を検知して自動でハイビームとロービームを切り替えます。ステアリング左側のレバーを前方に押すと有効になります。操作不要で安全性が向上します,丁寧に説明・操作方法を詳しく,高
MSG_CALL_004,R009,FN002,LKA,運転支援,一度ONで継続,初回のみ推奨,高速道路・中級者・初回体験済み,【推奨回答】レーンキープアシストは以前使われましたね。高速道路での疲労軽減に効果的です。何かご不明な点はございますか？,フォローアップ・不明点確認,中
MSG_CALL_005,R010,FN001,ACC,運転支援,一度ONで継続,初回のみ推奨,雨天渋滞・初心者・未使用,【推奨回答】雨の日の渋滞は疲れますね。渋滞追従機能を使うと、ブレーキとアクセルの操作が自動化されます。低速なので安全に試せます,丁寧に説明・共感を示す,中
MSG_CALL_006,R012,FN007,シートヒーター,快適機能,都度操作,毎回推奨,冬季・一般道・初心者・未使用,【推奨回答】シートヒーターは、座面と背もたれを温めます。シート横のスイッチで3段階に調整できます。冬季の快適性向上と腰痛予防に効果的です,丁寧に説明・操作方法を詳しく,中
MSG_CALL_007,R013,FN008,ステアリングヒーター,快適機能,都度操作,毎回推奨,冬季・一般道・初心者・未使用,【推奨回答】ステアリングヒーターは、ステアリングを温めます。ステアリング横のスイッチで操作できます。冬季の快適性向上に効果的です,丁寧に説明・操作方法を詳しく,中
MSG_CALL_008,R015,FN009,パワーバックドア,便利機能,都度操作,毎回推奨,買い物・初心者・未使用,【推奨回答】パワーバックドアは、スマートキーのボタンを長押しすると自動で開きます。荷物で両手がふさがっている時も便利です。車内からも開閉ボタンで操作できます,丁寧に説明・操作方法を詳しく,高
MSG_CALL_009,R021,FN009,パワーバックドア,便利機能,都度操作,毎回推奨,買い物・中級者・未使用,【推奨回答】パワーバックドアは、スマートキーのボタンを長押しすると自動で開きます。買い物で荷物が多い時に便利です,要点を説明,高
MSG_CALL_010,R026,FN002,LKA,運転支援,一度ONで継続,定着促進推奨,高速道路・中級者・初回体験済み,【推奨回答】レーンキープアシストは以前使われましたね。定着させるため、もう一度試してみませんか？高速道路での疲労軽減に効果的です,フォローアップ・定着促進,中
MSG_CALL_011,R027,FN003,PVM,駐車支援,都度操作,毎回推奨,駐車場・中級者・未使用,【推奨回答】運転に慣れていらっしゃいますが、パノラミックビューモニターを使うと、狭い場所でも安心です。ディスプレイオーディオの「カメラ」ボタンで表示できます,要点を説明,中
MSG_CALL_012,R028,FN009,パワーバックドア,便利機能,都度操作,毎回推奨,買い物・上級者・未使用,【推奨回答】パワーバックドアは、スマートキーのボタンを長押しすると自動で開きます。荷物が多い時に便利です,要点を説明,高
MSG_CALL_013,R029,FN007,シートヒーター,快適機能,都度操作,毎回推奨,長距離高速・中級者・未使用,【推奨回答】長距離運転ですね。シートヒーターを使うと、腰の疲労軽減にも効果的です。シート横のスイッチで操作できます,要点を説明,中
MSG_CALL_014,R030,FN010,デジタルインナーミラー,便利機能,都度操作,毎回推奨,一般道・中級者・未使用,【推奨回答】デジタルインナーミラーは、後席に荷物や人がいても、カメラ映像で後方がクリアに見えます。ミラー下部のスイッチで切り替えられます,要点を説明,中
MSG_CALL_015,R031,FN001,ACC,運転支援,一度ONで継続,初回のみ推奨,深夜高速・初心者・未使用,【推奨回答】深夜の高速運転は疲労リスクが高いです。ACCを使うと、疲労軽減に効果的です。ただし、初めての場合は日中に練習することをお勧めします,安全優先・代替案提示,中
MSG_CALL_016,R033,FN005,オートハイビーム,視認支援,一度ONで継続,初回のみ推奨,霧高速・初心者・未使用,【推奨回答】霧の日はオートハイビームが視認性向上に役立ちます。ステアリング左側のレバーを前方に押すと有効になります。霧灯も併用してください,丁寧に説明・安全運転を促す,高
MSG_CALL_017,R036,FN012,シートクーラー,快適機能,都度操作,毎回推奨,夏季長距離高速・初心者・未使用,【推奨回答】シートクーラーは、座面を涼しくします。シート横のスイッチで3段階に調整できます。夏季の長距離運転で快適性が向上します,丁寧に説明・操作方法を詳しく,中
MSG_CALL_018,R037,FN007,シートヒーター,快適機能,都度操作,毎回推奨,冬季晴れ・中級者・未使用,【推奨回答】シートヒーターは、座面と背もたれを温めます。シート横のスイッチで操作できます。冬季の快適性向上に効果的です,要点を説明,中
MSG_CALL_019,R024,FN007,シートヒーター,快適機能,都度操作,推奨しない,冬季雪・初心者・未使用,【注意】雪の日は路面状況が悪いため、運転に集中してください。シートヒーターは停車中または低速時にお使いいただくことをお勧めします,安全優先・慎重に案内,低
MSG_CALL_020,R034,FN001,ACC,運転支援,一度ONで継続,推奨しない,冬季雪渋滞・初心者・未使用,【注意】雪の日の渋滞は路面状況が悪いため、初めての方には推奨しません。運転に慣れてから、晴れの日に練習することをお勧めします,安全優先・代替案提示,低
MSG_CALL_021,R039,FN016,ハンズフリーパワーバックドア,便利機能,都度操作,毎回推奨,買い物・初心者・未使用,【推奨回答】ハンズフリーパワーバックドアは、リアバンパーの下に足をかざすだけで、自動でバックドアが開閉します。荷物で両手がふさがっている時や、雨天時に傘をさしている時も便利です。センサーの反応範囲は、リアバンパー下約10cm以内です。足を左右にスライドさせるように動かすと反応します,丁寧に説明・操作方法を詳しく,最高
MSG_CALL_022,R040,FN016,ハンズフリーパワーバックドア,便利機能,都度操作,毎回推奨,買い物・中級者・未使用,【推奨回答】ハンズフリーパワーバックドアは、リアバンパー下に足をかざすだけで開閉します。通常のパワーバックドア機能も併用できます,要点を説明,最高
MSG_CALL_023,R041,FN016,ハンズフリーパワーバックドア,便利機能,都度操作,毎回推奨,買い物・上級者・未使用,【推奨回答】ハンズフリーパワーバックドアについて、何かご不明な点はございますか？センサーの感度調整も可能です,簡潔に確認,最高
