商談ID,顧客プロファイルID,家族構成ID,用途ID,予算ID,商談シーンID,総合提案レベル,推奨車種ID,推奨車種名,推奨グレード,推奨理由,推奨メーカーオプション,オプション推奨理由,推奨トークスクリプト,重点訴求ポイント,提示資料,デモ・体験,次ステップ提案,備考
SALES_001,PROF_001,FAM_001,USE_001,BUD_001,SCENE_001,2.1,CAR_001,アクア,G,初めての車購入で予算150万円以下。燃費が良く維持費が安いエントリーモデルが最適,BSM（5万円）,初心者には死角検知が安全性向上に有効,初めての車購入ですね。まずは車の基本的な使い方から、安心してお使いいただけるようご説明させていただきます。アクアGは燃費も良く、運転しやすいコンパクトカーです。,燃費の良さ、維持費の安さ、運転のしやすさ、安全装備の充実,初心者向けパンフレット、維持費シミュレーション、安全装備動画,駐車支援システムのデモ、スマホ連携体験、BSMの実演,試乗の提案、購入後サポート説明,丁寧な基礎説明が必要
SALES_002,PROF_002,FAM_004,USE_003,BUD_003,SCENE_002,1.2,CAR_008,プリウス,Z,同メーカー買い替えで子供送迎用途。室内空間が広く安全装備充実のハイブリッド,パーキングアシスト（8万円）,送迎で駐車機会が多いため駐車支援が便利,前回のモデルからさらに進化した安全装備と、お子様の送迎に便利な機能をご紹介します。プリウスZは室内も広く、ハイブリッドで燃費も優秀です。,新型の安全装備、乗降性の向上、室内空間の拡大、燃費改善,新旧比較表、安全装備進化資料、室内空間比較,チャイルドシート装着デモ、パーキングアシスト体験,試乗予約、見積提示,同メーカーなので簡潔に差分説明
SALES_003,PROF_003,FAM_002,USE_008,BUD_004,SCENE_001,1.5,CAR_006,ハリアー,Z,他メーカーから乗り換え・趣味ドライブ。人気SUVで走行性能と質感が高い,ハンズフリーパワーバックドア（8万円）・デジタルインナーミラー（6万円）,アウトドアでの荷物積載に便利。視認性も向上,他メーカーからお乗り換えをご検討いただきありがとうございます。当社の強みと、○○様のドライブスタイルに合った特長をご紹介します。ハリアーは走行性能と上質な質感が魅力です。,走行性能の優位性、先進技術、ブランド信頼性、アフターサービス,他社比較表、走行性能データ、顧客満足度調査,試乗車での走行体験予約、コネクテッド機能デモ,試乗予約、競合比較資料提供,他社との差別化を明確に
SALES_004,PROF_004,FAM_002,USE_008,BUD_005,SCENE_004,0.9,CAR_007,クラウン,RS,車に詳しい・趣味ドライブ・プレミアム価格。技術的に優れたセダン最上位,デジタルインナーミラー（6万円）,技術志向の顧客には先進装備が魅力,試乗いかがでしたか？走行性能や先進装備について、技術的な詳細もご説明できます。クラウンRSは最新技術が詰まったフラッグシップモデルです。,エンジンスペック、シャシー性能、先進運転支援の技術詳細,技術仕様書、性能曲線図、システム構成図,詳細設定メニュー確認、カスタマイズオプション提案,見積提示、オプション詳細説明,技術的な深掘りに対応
SALES_005,PROF_005,FAM_003,USE_003,BUD_002,SCENE_003,1.8,CAR_002,アクア,Z,車に詳しくない・乳幼児あり・子供送迎。標準グレードで安全装備充実,パーキングアシスト（8万円）・後席シートヒーター（4万円）,駐車が苦手な人向け。子供の快適性向上,お子様との安全なドライブのために、この車がどのようにサポートしてくれるかを、実際に体験していただきながらご説明します。アクアZは安全装備が充実しています。,自動ブレーキの仕組み、チャイルドシート対応、乗降のしやすさ、見守り機能,安全装備わかりやすい図解、子育て家族の体験談、安全性能試験結果,チャイルドシート装着体験、安全装備の実演、スマホアプリ連携,試乗実施、家族での再来店提案,わかりやすく丁寧な説明
SALES_006,PROF_006,FAM_001,USE_006,BUD_002,SCENE_005,1.3,CAR_002,アクア,Z,法人・営業車両。燃費性能とTCOに優れたハイブリッド,なし,法人はコスト重視のため標準装備で十分,御社の業務効率向上とコスト削減の観点から、最適なプランをご提案いたします。アクアは燃費性能に優れ、メンテナンス性も良好です。,TCO（総保有コスト）、燃費性能、メンテナンス性、耐久性,TCO試算表、法人向けプラン、メンテナンスパック、リース比較,燃費シミュレーション、メンテナンス説明、車両管理システム,契約条件調整、複数台割引提案,ビジネス視点での提案
SALES_007,PROF_007,FAM_002,USE_008,BUD_006,SCENE_002,1.0,CAR_005,レクサスES300h,version L,高級志向・ラグジュアリー価格。最上位のプレミアムセダン,シートクーラー（5万円）,高級車には快適装備の充実が期待される,最上位グレードならではの質感と、最新の先進技術をご体験いただけます。特別な一台をお選びいただくためのご提案をさせていただきます。レクサスES300hは最高級の質感と静粛性が魅力です。,最上位グレードの質感、専用装備、ブランド価値、所有する喜び,最上位グレードカタログ、専用装備詳細、オーナーズボイス,本革シート体感、プレミアムオーディオ試聴、特別色確認,試乗（最上位グレード）、特別オプション提案,高級志向に合わせた提案
SALES_008,PROF_008,FAM_004,USE_002,BUD_001,SCENE_001,1.4,CAR_001,アクア,G,実用重視・買い物メイン・エントリー価格。コスパ最優先,なし,実用重視なので標準装備で十分,毎日の使いやすさと、家計に優しい経済性を両立した、実用的な一台をご紹介します。アクアGは燃費も良く、小回りも効いて使いやすいです。,燃費の良さ、維持費の安さ、使い勝手の良さ、十分な装備,実燃費データ、維持費シミュレーション、標準装備一覧,荷室の広さ確認、小回り性能体験、燃費計の見方,試乗予約、月々の支払いシミュレーション,コスパの良さを強調
SALES_009,PROF_009,FAM_004,USE_001,BUD_003,SCENE_002,1.3,CAR_008,プリウス,Z,環境意識高い・通勤用途。ハイブリッドの代表格,なし,環境性能が最優先なので標準装備で十分,環境性能と経済性を両立したハイブリッドシステムの魅力をご説明します。地球にも家計にも優しい選択です。プリウスは環境性能のパイオニアです。,ハイブリッド燃費、CO2削減効果、エコカー減税、静粛性,環境性能データ、エコカー減税額、燃料費比較、環境貢献度,ハイブリッド走行モード体験、燃費モニター確認,試乗（ハイブリッド）、補助金申請サポート,環境価値を訴求
SALES_010,PROF_010,FAM_003,USE_003,BUD_003,SCENE_003,1.6,CAR_008,プリウス,Z,安全重視・子供送迎。最新の安全装備が充実,パーキングアシスト（8万円）,安全性を最優先する顧客には駐車支援も重要,お子様の安全を守る最新の安全装備について、一つ一つ丁寧にご説明します。試乗では実際に安全装備の作動を体験していただけます。プリウスZは予防安全装備が充実しています。,予防安全装備の詳細、衝突安全性能、チャイルドシート適合、見守り機能,安全性能評価書、安全装備詳細資料、事故回避事例,自動ブレーキ体験、死角モニター確認、チャイルドシート装着,試乗実施、安全装備の再確認,安全性を最優先で説明
SALES_011,PROF_001,FAM_007,USE_002,BUD_002,SCENE_003,2.0,CAR_002,アクア,Z,初めての車購入・高齢夫婦・買い物。運転支援が充実したモデル,パーキングアシスト（8万円）,高齢者には駐車支援が特に有効,運転に不安を感じる場面でも、この車がしっかりサポートしてくれます。実際に体験していただきながら、安心してお使いいただける機能をご紹介します。アクアZは運転支援機能が充実しています。,運転支援機能、視認性の良さ、乗降のしやすさ、シンプルな操作性,高齢者向け安全装備資料、大きな文字のパンフレット、操作ガイド,駐車支援体験、視界確認、乗降体験、シンプルモード設定,ゆっくり試乗、家族同伴での再来店,高齢者に配慮した説明
SALES_012,PROF_003,FAM_008,USE_004,BUD_004,SCENE_006,1.4,CAR_003,ランドクルーザー250,GX,他メーカー・大家族・週末レジャー。7人乗り以上でSUV,リアシートリクライニング電動（6万円）,大家族には後席の快適性が重要,他社の7人乗りと比較されているとのことですね。室内空間の広さと、3列目の快適性で当社が選ばれている理由をご説明します。ランドクルーザー250は本格SUVで室内も広々です。,室内空間の広さ、3列目の快適性、荷室の使い勝手、燃費性能,競合比較表（室内寸法）、3列目シート比較、荷室アレンジ例,3列目シート座り比べ、荷室アレンジ体験、大家族オーナーの声,試乗（3列フル乗車）、特別値引き提案,競合との差別化明確に
SALES_013,PROF_002,FAM_002,USE_005,BUD_004,SCENE_007,1.0,CAR_006,ハリアー,Z,買い替え・長距離ドライブ。ACCとLKAが標準装備,デジタルインナーミラー（6万円）,長距離では視認性向上が快適性につながる,ご検討いただきありがとうございます。最後に気になる点やご不安な点はございませんか？安心してお選びいただけるようサポートいたします。ハリアーは長距離でも快適です。,長距離での快適性、ACC/LKAの便利さ、アフターサービス、下取り価格,最終見積書、保証内容詳細、メンテナンスパック、下取り査定書,最終確認、オプション再確認、納期確認,契約手続き、納車日調整,最終的な不安解消
SALES_014,PROF_005,FAM_003,USE_003,BUD_002,SCENE_008,1.6,CAR_002,アクア,Z,車に詳しくない・乳幼児・子供送迎。安全装備充実,パーキングアシスト（8万円）・後席シートヒーター（4万円）,駐車支援と子供の快適性,ご契約ありがとうございます。納車までの流れと、納車後のサポート体制についてご説明します。アクアZは子育て世代に人気のモデルです。,納車スケジュール、必要書類、納車時の説明内容、アフターサービス,契約書類、納車スケジュール表、取扱説明書、サポート窓口一覧,書類記入サポート、納車時説明の予告、アプリ登録,納車日確定、事前準備の案内,安心感を与える
SALES_015,PROF_001,FAM_001,USE_001,BUD_001,SCENE_010,2.3,CAR_001,アクア,G,初めての車購入・単身・通勤。エントリーモデル,BSM（5万円）,初心者には安全装備の追加を推奨,本日はご納車おめでとうございます。これから安全に快適にお使いいただけるよう、一つ一つ丁寧にご説明させていただきます。アクアGは燃費も良く、運転しやすいです。,基本操作、安全装備の使い方、メンテナンス、困った時の連絡先,納車チェックリスト、クイックガイド、メンテナンススケジュール、緊急連絡先カード,全機能の実演、スマホ連携設定、初回点検予約,1週間後フォロー電話、1ヶ月点検案内,最も丁寧な説明が必要
SALES_016,PROF_004,FAM_002,USE_008,BUD_005,SCENE_010,1.2,CAR_007,クラウン,RS,車に詳しい・趣味ドライブ・プレミアム価格,デジタルインナーミラー（6万円）,技術志向の顧客向け先進装備,ご納車おめでとうございます。基本的な操作はご存知かと思いますので、この車ならではの先進機能を中心にご説明します。クラウンRSの先進技術をお楽しみください。,先進機能の詳細、カスタマイズ設定、メンテナンス、性能を引き出す使い方,納車チェックリスト、詳細設定ガイド、メンテナンススケジュール,先進機能デモ、詳細設定、カスタマイズ提案,フォローアップ、カスタマイズ相談,簡潔だが詳細な説明
SALES_017,PROF_010,FAM_006,USE_007,BUD_003,SCENE_009,1.8,CAR_008,プリウス,Z,安全重視・三世代同居・送迎サービス。安全装備充実,パーキングアシスト（8万円）・リアシートリクライニング電動（6万円）,高齢者の乗降と快適性を重視,納車前の最終確認です。特に安全装備と、ご高齢の方の乗降に関する機能を重点的に確認させていただきます。プリウスZは安全性と快適性を両立しています。,安全装備の最終確認、乗降サポート機能、緊急時の対応、サポート体制,納車前確認シート、安全装備チェックリスト、緊急時対応マニュアル,安全装備の動作確認、乗降サポート確認、緊急ボタン説明,納車時の詳細説明予告、家族同席の推奨,安全性を最優先で確認
SALES_018,PROF_006,FAM_001,USE_006,BUD_002,SCENE_008,1.3,CAR_002,アクア,Z,法人・営業車両。燃費性能重視,なし,法人はコスト重視,ご契約ありがとうございます。法人様向けの納車手続きと、車両管理システムの導入についてご説明します。アクアZは法人利用に最適です。,納車スケジュール、車両管理システム、メンテナンス契約、請求・支払い,契約書類、車両管理システム資料、メンテナンス契約書、請求書サンプル,車両管理システムデモ、メンテナンス説明,納車・運用開始、複数台導入の相談,法人対応の説明
SALES_019,PROF_007,FAM_002,USE_008,BUD_006,SCENE_010,1.3,CAR_005,レクサスES300h,version L,高級志向・ラグジュアリー価格。最高級セダン,シートクーラー（5万円）,高級車には快適装備が期待される,本日はご納車おめでとうございます。最上位グレードならではの特別な装備と、上質な使い心地をご体験ください。レクサスES300hの極上の質感をお楽しみください。,専用装備の使い方、質感の楽しみ方、オーナー特典、コンシェルジュサービス,納車チェックリスト、専用装備ガイド、オーナー特典案内、コンシェルジュ連絡先,専用装備デモ、プレミアムオーディオ設定、特別機能説明,オーナーズイベント案内、コンシェルジュ紹介,特別感のある対応
SALES_020,PROF_008,FAM_004,USE_002,BUD_001,SCENE_010,1.6,CAR_001,アクア,G,実用重視・買い物メイン・エントリー価格,なし,実用重視なので標準装備で十分,ご納車おめでとうございます。毎日使う車だからこそ、基本的な使い方をしっかりマスターしていただけるようご説明します。アクアGは実用性抜群です。,基本操作、日常点検、燃費を良くする運転方法、メンテナンス,納車チェックリスト、簡単操作ガイド、日常点検表、メンテナンススケジュール,基本操作実演、燃費運転のコツ、日常点検方法,1週間後フォロー、エコドライブ講習案内,実用的な説明
SALES_021,PROF_003,FAM_005,USE_004,BUD_004,SCENE_001,1.5,CAR_004,ランドクルーザー250,VX,他メーカー・中高生の子供・週末レジャー。最上位SUV,ハンズフリーパワーバックドア（8万円）・デジタルインナーミラー（6万円）,アウトドアでの利便性と視認性,他メーカーからのお乗り換えをご検討いただきありがとうございます。週末のアウトドアに最適な本格SUVをご紹介します。ランドクルーザー250VXは最上位の装備と性能を誇ります。,走破性、室内空間、荷室容量、先進装備,他社SUV比較表、走破性能データ、荷室アレンジ例,荷室体験、4WDシステム説明、ハンズフリーバックドア体験,試乗予約（オフロード体験含む）、特別値引き提案,本格SUVの魅力を訴求
SALES_022,PROF_009,FAM_002,USE_005,BUD_004,SCENE_004,1.2,CAR_008,プリウス,Z,環境意識高い・長距離ドライブ。ハイブリッドで燃費最優先,なし,環境性能重視なので標準装備で十分,試乗いかがでしたか？ハイブリッドの静粛性と燃費性能を実感いただけたと思います。長距離でも疲れにくく、環境にも優しい一台です。,ハイブリッド性能、長距離での快適性、燃料費削減効果、環境貢献,実燃費データ、長距離オーナーの声、年間燃料費比較,燃費モニター詳細確認、ハイブリッドシステム説明,見積提示、エコカー減税説明,環境と経済性を両立
SALES_023,PROF_010,FAM_004,USE_003,BUD_004,SCENE_005,1.5,CAR_006,ハリアー,Z,安全重視・小学生の子供・送迎。人気SUVで安全装備充実,パーキングアシスト（8万円）・後席シートヒーター（4万円）,送迎での駐車と子供の快適性,お見積りをご提示いたします。ハリアーZは安全装備が充実しており、お子様の送迎にも安心してお使いいただけます。人気のSUVで資産価値も高いです。,安全装備の充実、室内空間、乗降性、リセールバリュー,見積書、安全装備一覧、リセールバリューデータ、オプション詳細,オプション装備の実演、支払いシミュレーション,クロージング、契約手続き説明,安心感と価値を訴求
SALES_024,PROF_005,FAM_007,USE_002,BUD_002,SCENE_010,2.0,CAR_002,アクア,Z,車に詳しくない・高齢夫婦・買い物。運転支援充実,パーキングアシスト（8万円）・ステアリングヒーター（3万円）,高齢者向け運転支援と快適性,本日はご納車おめでとうございます。運転支援機能を中心に、安心してお使いいただけるよう丁寧にご説明します。特に駐車支援は便利ですよ。,運転支援機能の詳細、駐車支援の使い方、緊急時の対応、サポート窓口,納車チェックリスト、大きな文字の操作ガイド、緊急連絡先カード,全機能の実演（特に駐車支援）、緊急ボタン説明、スマホアプリ設定,1週間後フォロー電話、家族への使い方説明会提案,高齢者に特に配慮した説明
SALES_025,PROF_004,FAM_002,USE_008,BUD_006,SCENE_006,0.9,CAR_005,レクサスES300h,version L,車に詳しい・趣味ドライブ・ラグジュアリー価格・比較検討中,シートクーラー（5万円）,技術志向かつ高級志向の顧客,他社のプレミアムセダンと比較されているとのことですね。レクサスES300hの技術的優位性とブランド価値についてご説明します。最新のハイブリッド技術と静粛性は他の追随を許しません。,ハイブリッドシステムの技術詳細、静粛性、ブランド価値、レクサスオーナー特典,競合比較表（技術仕様）、静粛性データ、レクサスオーナー特典資料,詳細設定メニュー、プレミアムオーディオ試聴、レクサスオーナーズラウンジ案内,特別条件提示、早期契約特典提案,技術とブランド価値で差別化
