チェック項目カテゴリ,チェック項目,最詳細レベル（初心者）,詳細レベル（一般）,標準レベル（経験者）,簡潔レベル（熟練者）,所要時間（分）,重要度
外観確認,ボディ傷・凹み確認,一緒に車両を一周しながら、傷や凹みがないか確認します。気になる箇所があればお知らせください。,車両外観を確認します。傷や凹みがないかご確認ください。,外観確認をお願いします。,外観確認,5,高
外観確認,ライト類動作確認,ヘッドライト、ウインカー、ブレーキランプなど、すべてのライトが正常に点灯するか確認します。スイッチの位置もご説明します。,各種ライトの点灯を確認します。,ライト類確認,ライト確認,3,高
外観確認,タイヤ・ホイール確認,タイヤに傷や異物がないか、ホイールに傷がないか確認します。空気圧も適正です。,タイヤとホイールの状態を確認します。,タイヤ確認,タイヤOK,2,中
内装確認,シート・内装状態,シートや内装に汚れや傷がないか確認します。シートの調整方法もご説明します。,内装の状態を確認します。シート調整方法を確認。,内装確認,内装OK,3,中
内装確認,エアコン動作確認,エアコンのスイッチの位置と使い方をご説明します。冷房・暖房が正常に作動するか確認します。,エアコンの動作を確認します。,エアコン確認,エアコンOK,2,中
内装確認,オーディオ・ナビ動作,オーディオとナビゲーションの基本的な使い方をご説明します。スマホ接続方法もご案内します。,オーディオ・ナビの動作確認と基本操作説明。,オーディオ・ナビ確認,AV確認,5,中
基本操作,エンジン始動方法,スマートキーの使い方とエンジンの始動・停止方法を実際にやっていただきながらご説明します。,エンジン始動方法を確認します。,始動方法確認,始動OK,3,高
基本操作,シフト操作,シフトレバーの操作方法（P・R・N・D・Sなど）を一つ一つご説明します。,シフト操作を確認します。,シフト確認,シフトOK,3,高
基本操作,ハンドル・ミラー調整,ハンドルの高さ・前後調整、ルームミラー・ドアミラーの調整方法を実際に調整していただきます。,ハンドル・ミラーの調整方法を確認。,調整方法確認,調整OK,4,高
基本操作,ウインカー・ワイパー,ウインカーとワイパーのレバー位置と使い方をご説明します。間欠ワイパーの調整方法も。,ウインカー・ワイパーの操作確認。,操作確認,操作OK,2,高
基本操作,ライト操作,ヘッドライトのオート・ロー・ハイビームの切り替え方法をご説明します。,ライト操作を確認します。,ライト操作確認,ライトOK,2,高
基本操作,給油口の開け方,給油口の開け方と、使用する燃料の種類（レギュラー・ハイオク）をご説明します。,給油口の開け方を確認します。,給油口確認,給油OK,2,中
基本操作,ボンネットの開け方,ボンネットの開け方と、エンジンルームの確認ポイントをご説明します。,ボンネットの開け方を確認。,ボンネット確認,ボンネットOK,2,低
安全装備,自動ブレーキ（プリクラッシュ）,自動ブレーキの仕組みと作動条件、注意点を詳しくご説明します。過信せず、必ずご自身でブレーキを踏むことが重要です。,自動ブレーキの機能と注意点を説明します。,自動ブレーキ説明,自動ブレーキOK,5,高
安全装備,車線維持支援（LKA）,車線維持支援の機能と使い方、作動条件をご説明します。ハンドルから手を離さないでください。,LKAの機能と使い方を説明します。,LKA説明,LKA OK,4,高
安全装備,ACC（クルーズコントロール）,ACCの使い方と便利な場面、注意点をご説明します。高速道路での使用がおすすめです。,ACCの使い方を説明します。,ACC説明,ACC OK,4,中
安全装備,ブラインドスポットモニター,死角にいる車両を知らせる機能です。ドアミラーのインジケーターの見方をご説明します。,BSMの機能を説明します。,BSM説明,BSM OK,3,中
安全装備,駐車支援システム,駐車支援システムの使い方を実際に操作していただきながらご説明します。,駐車支援の使い方を説明します。,駐車支援説明,駐車支援OK,5,中
安全装備,パノラミックビューモニター,車両を上から見た映像で駐車をサポートする機能です。使い方をご説明します。,PVMの使い方を説明します。,PVM説明,PVM OK,3,中
安全装備,エアバッグ位置確認,エアバッグの位置と、正しい着座姿勢についてご説明します。,エアバッグの位置を確認します。,エアバッグ確認,エアバッグOK,2,高
安全装備,チャイルドシート固定,チャイルドシートの固定方法（ISOFIXまたはシートベルト）をご説明します。,チャイルドシート固定方法を説明。,固定方法説明,固定OK,4,高
快適装備,パワーウインドウ,パワーウインドウの操作方法と、挟み込み防止機能についてご説明します。,パワーウインドウの操作確認。,PW確認,PW OK,2,低
快適装備,パワーシート,運転席パワーシートの操作方法と、メモリー機能の使い方をご説明します。,パワーシートの操作確認。,シート確認,シートOK,3,低
快適装備,ステアリングヒーター,ステアリングヒーターのスイッチ位置と使い方をご説明します。,ステアリングヒーター確認。,ヒーター確認,ヒーターOK,1,低
快適装備,シートヒーター,シートヒーターのスイッチ位置と使い方をご説明します。,シートヒーター確認。,ヒーター確認,ヒーターOK,1,低
スマホ連携,スマホ連携設定,スマホとのBluetooth接続方法と、ハンズフリー通話の使い方をご説明します。実際に接続してみましょう。,スマホ連携の設定を行います。,スマホ連携設定,連携OK,5,中
スマホ連携,専用アプリ設定,メーカー専用アプリのダウンロードと初期設定をサポートします。遠隔操作などの便利な機能をご案内します。,専用アプリの設定を行います。,アプリ設定,アプリOK,5,中
スマホ連携,Apple CarPlay/Android Auto,スマホの画面をナビに表示する機能です。接続方法と使い方をご説明します。,CarPlay/Android Autoの使い方説明。,連携方法説明,連携OK,3,低
メンテナンス,日常点検項目,日常点検の項目（タイヤ空気圧、エンジンオイル、ウォッシャー液など）を一つ一つご説明します。,日常点検項目を説明します。,点検項目説明,点検OK,5,中
メンテナンス,定期点検スケジュール,定期点検のスケジュール（6ヶ月、12ヶ月点検）と、メンテナンスパックについてご説明します。,定期点検スケジュールを説明します。,点検スケジュール説明,スケジュールOK,3,中
メンテナンス,オイル交換時期,エンジンオイルの交換時期と、交換の重要性についてご説明します。,オイル交換時期を説明します。,交換時期説明,交換OK,2,中
メンテナンス,タイヤローテーション,タイヤローテーションの必要性と、推奨時期をご説明します。,タイヤローテーション説明。,ローテーション説明,ローテーションOK,2,低
緊急時対応,パンク時の対応,パンクした時の対応方法（スペアタイヤ交換またはパンク修理キット）をご説明します。,パンク時の対応を説明します。,パンク対応説明,パンクOK,5,高
緊急時対応,バッテリー上がり時,バッテリーが上がった時の対応方法と、ロードサービスの連絡先をご案内します。,バッテリー上がり時の対応説明。,バッテリー対応説明,バッテリーOK,3,高
緊急時対応,事故時の対応,事故が起きた時の対応手順と、保険会社・ロードサービスへの連絡方法をご説明します。,事故時の対応手順を説明します。,事故対応説明,事故OK,4,高
緊急時対応,警告灯の意味,メーター内の主な警告灯の意味と、点灯した時の対応をご説明します。,主な警告灯の意味を説明します。,警告灯説明,警告灯OK,4,高
緊急時対応,ロードサービス連絡先,ロードサービスの連絡先と、24時間対応のサポート体制をご案内します。,ロードサービス連絡先を案内します。,連絡先案内,連絡先OK,2,高
書類・その他,取扱説明書の場所,取扱説明書とメンテナンスノートの保管場所をご説明します。困った時はまずこちらをご覧ください。,取扱説明書の場所を案内します。,説明書確認,説明書OK,1,中
書類・その他,保証書の説明,保証書の内容と、保証期間、保証の対象についてご説明します。,保証書の内容を説明します。,保証説明,保証OK,3,中
書類・その他,車検証の確認,車検証の内容を確認し、車検の有効期限をご案内します。車検証は常に車内に保管してください。,車検証を確認します。,車検証確認,車検証OK,2,高
書類・その他,任意保険の確認,任意保険の加入状況を確認し、車両入替の手続きが完了しているか確認します。,保険の確認をします。,保険確認,保険OK,2,高
書類・その他,次回点検予約,初回1ヶ月無料点検の予約をお取りします。点検内容についてもご説明します。,1ヶ月点検の予約を取ります。,点検予約,予約OK,3,中
アフターフォロー,担当者連絡先,困った時の担当者連絡先をお渡しします。些細なことでもお気軽にご連絡ください。,担当者連絡先をお渡しします。,連絡先渡す,連絡先OK,1,高
アフターフォロー,1週間後フォロー,1週間後にお電話でご様子を伺います。気になることがあればその時にお聞かせください。,1週間後にフォロー電話します。,フォロー予告,フォローOK,1,中
アフターフォロー,オーナーズサイト登録,オーナーズサイトへの登録方法と、サイトで利用できるサービスをご案内します。,オーナーズサイト登録を案内。,サイト登録,登録OK,3,低
アフターフォロー,SNSコミュニティ案内,同じ車種のオーナーが集まるSNSコミュニティをご案内します。情報交換にご活用ください。,SNSコミュニティを案内。,SNS案内,SNS OK,2,低
