予測ルールID,問い合わせ分類ID,顧客プロファイルID,顧客ステージID,時間帯,曜日,予測される追加質問,予測される不満・懸念,推奨する追加案内,クロスセル・アップセル機会,次回予測される問い合わせ,予防的案内,備考
RULE_001,INQ_001,PROF_001,STAGE_004,朝,平日,シフト操作、ライト操作,操作が難しい、不安,基本操作の動画案内、1週間後フォロー電話予約,なし,他の基本操作,納車時説明の復習資料送付,納車直後に多い
RULE_002,INQ_002,PROF_001,STAGE_004,全時間帯,全曜日,パーキングブレーキ操作、坂道発進,操作ミスが怖い,操作方法の図解資料送付,なし,駐車支援システムの使い方,基本操作マニュアル送付,初心者に多い
RULE_003,INQ_005,PROF_005,STAGE_004,夏季,全曜日,エアコンの風量調整、内外気切替,効きが悪い、燃費が気になる,エアコン効率的な使い方案内,なし,エアコンフィルター交換時期,定期メンテナンス案内,夏季に集中
RULE_004,INQ_006,PROF_005,STAGE_005,夏季,全曜日,エアコンガス補充費用、修理期間,修理費用が高い,点検・整備の予約案内,エアコンガス補充サービス,なし,定期点検の重要性説明,ガス不足は有償修理
RULE_005,INQ_007,PROF_005,STAGE_004,全時間帯,週末,音声認識の使い方、スマホ連携,操作が複雑,ナビ操作の個別レクチャー案内,なし,スマホ連携方法,ナビ操作マニュアル送付,高齢者に多い
RULE_006,INQ_008,PROF_001,STAGE_004,全時間帯,全曜日,音楽再生方法、ハンズフリー通話,接続できない、音が出ない,スマホ連携トラブルシューティング資料,なし,Apple CarPlay/Android Auto,スマホ連携完全ガイド送付,機種により手順異なる
RULE_007,INQ_010,PROF_002,STAGE_005,全時間帯,平日,渋滞追従機能、車間距離設定,作動しない、使いにくい,ACC詳細マニュアル送付、使い方動画案内,なし,LKAの使い方,運転支援機能まとめ資料,高速道路利用者から
RULE_008,INQ_011,PROF_002,STAGE_005,全時間帯,平日,ACCとの併用、作動条件,手放し運転できるか誤解,手放し運転不可を明確に説明、正しい使い方案内,なし,運転支援機能全般,運転支援機能の注意事項,誤解が多い
RULE_009,INQ_013,PROF_001,STAGE_004,全時間帯,週末,縦列駐車の方法、駐車枠認識,うまく駐車できない,駐車支援システム詳細マニュアル、実演案内,パーキングアシスト（オプション）,パノラミックビューモニター,駐車支援機能まとめ資料,初心者に多い
RULE_010,INQ_014,PROF_001,STAGE_004,全時間帯,週末,視点切替方法、画面の見方,画面が見にくい,PVM使い方動画案内,なし,駐車支援システム全般,駐車関連機能まとめ,駐車時に便利
RULE_011,INQ_015,PROF_005,STAGE_005,全時間帯,全曜日,修理費用、修理期間、代車,修理費用が高い、時間がかかる,保証内容確認、代車手配案内,延長保証プラン,なし,定期点検の重要性,即座にエスカレーション
RULE_012,INQ_016,PROF_005,STAGE_005,全時間帯,全曜日,修理費用、安全性,走行できるか、危険性,即座に停車指示、緊急性を強調,なし,ブレーキメンテナンス,ブレーキ点検の重要性,最優先対応
RULE_013,INQ_019,PROF_008,STAGE_006,全時間帯,全曜日,パンク修理費用、タイヤ交換費用,費用が気になる,最寄りGS案内、タイヤ点検予約案内,タイヤ交換サービス,タイヤ交換時期,タイヤメンテナンス案内,実用重視の顧客
RULE_014,INQ_021,PROF_001,STAGE_004,朝,平日,バッテリー交換費用、ロードサービス費用,費用が高い、時間がかかる,ロードサービス手配、バッテリー交換案内,バッテリー交換サービス,バッテリーメンテナンス,バッテリー寿命の説明,納車直後は稀
RULE_015,INQ_021,PROF_008,STAGE_007,朝,平日,バッテリー交換費用、予防方法,またバッテリー上がりが心配,バッテリー交換推奨、定期点検案内,バッテリー交換サービス,なし,バッテリー定期点検,長期使用で発生
RULE_016,INQ_026,PROF_005,STAGE_005,全時間帯,全曜日,スペアタイヤ交換方法、ロードサービス費用,自分で交換できるか不安,ロードサービス手配、タイヤ交換方法説明,ロードサービス会員,タイヤ交換,タイヤ点検の重要性,交換が困難な場合多い
RULE_017,INQ_030,PROF_007,STAGE_004,全時間帯,全曜日,スマートキー電池交換方法、メカニカルキー使用方法,電池切れで困る,電池交換方法説明、販売店案内,なし,なし,スマートキー電池寿命説明,高齢者に多い
RULE_018,INQ_031,PROF_008,STAGE_005,全時間帯,平日,点検費用、点検内容,費用が高い、必要性がわからない,点検の重要性説明、費用見積案内,メンテナンスパック,次回点検時期,定期点検スケジュール送付,実用重視の顧客
RULE_019,INQ_033,PROF_008,STAGE_006,全時間帯,全曜日,オイル交換費用、オイルの種類,費用を抑えたい,オイル交換予約案内、費用説明,オイル交換パック,次回オイル交換時期,オイル交換スケジュール,コスト意識高い
RULE_020,INQ_036,PROF_008,STAGE_007,全時間帯,全曜日,タイヤ交換費用、タイヤの種類,費用を抑えたい、どのタイヤが良いか,タイヤ交換見積案内、推奨タイヤ説明,タイヤ交換サービス,なし,タイヤ交換時期案内,長期使用で発生
RULE_021,INQ_037,PROF_008,STAGE_007,冬季,全曜日,バッテリー交換費用、バッテリーの種類,費用を抑えたい,バッテリー交換見積案内、推奨バッテリー説明,バッテリー交換サービス,なし,バッテリー点検案内,冬季に多い
RULE_022,INQ_040,PROF_005,STAGE_005,全時間帯,全曜日,保険適用範囲、修理費用、代車,保険で対応できるか不安,保険会社連絡先案内、代車手配案内,なし,修理期間の問い合わせ,事故時対応マニュアル送付,事故発生時
RULE_023,INQ_041,PROF_008,STAGE_006,全時間帯,全曜日,車検費用、車検内容,費用が高い、内容がわからない,車検見積案内、車検内容説明,車検パック,車検時の追加整備,車検スケジュール案内,車検時期1ヶ月前
RULE_024,INQ_043,PROF_010,STAGE_005,全時間帯,全曜日,リコール内容、修理期間、代車,安全性が心配、時間がかかる,リコール内容詳細説明、入庫予約案内,なし,なし,リコール情報の定期案内,安全重視の顧客
RULE_025,INQ_047,PROF_001,STAGE_004,全時間帯,全曜日,リモート操作方法、通知設定,アプリが使いにくい,アプリ使い方動画案内、個別サポート案内,なし,リモート操作できない,アプリ完全ガイド送付,納車直後に多い
RULE_026,INQ_048,PROF_004,STAGE_005,全時間帯,全曜日,通信エラーの原因、設定方法,アプリが使えない,トラブルシューティング案内、サポート窓口案内,なし,なし,アプリトラブル対処法,技術的な問い合わせ
RULE_027,INQ_049,PROF_007,STAGE_005,全時間帯,週末,オプション価格、取付期間,後付けできるか、費用が気になる,対応可能オプション案内、見積依頼案内,オプション追加販売,なし,オプション追加購入,高級志向の顧客
RULE_028,INQ_001,PROF_005,STAGE_009,全時間帯,全曜日,他の操作方法全般,久しぶりで忘れた,基本操作の復習資料送付、来店案内,なし,各種操作方法,休眠顧客向け復習資料,休眠顧客の再活性化
RULE_029,INQ_031,PROF_006,STAGE_006,全時間帯,平日,複数台の点検予約、法人割引,費用を抑えたい、まとめて予約したい,法人向けメンテナンスプラン案内,法人メンテナンス契約,次回点検時期,法人向けサービス案内,法人顧客
RULE_030,INQ_010,PROF_010,STAGE_005,全時間帯,全曜日,他の安全装備の使い方、安全性能,安全装備を最大限活用したい,安全装備詳細マニュアル送付、安全運転講習案内,なし,LKA、BSM等の使い方,安全装備まとめ資料,安全重視の顧客
