判定ID,トラブル種別ID,トラブル名称,道路種別ID,天気環境ID,時間帯ID,同乗者ID,移動目的ID,移動距離ID,年齢層ID,運転頻度ID,車両タイプID,トラブル履歴ID,基本緊急性スコア,総合優先度スコア,優先度ランク,推奨対応時間,対応チャネル,備考,提供情報,行動誘導
J001,TRB_001,エンジン始動不可,ROAD_004,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,1.0,0.63,高,30分以内,ロードサービス,駐車中のため緊急性やや低い,30分以内にロードサービスがお伺いします。バッテリーやスターターの可能性が高いです。,ロードサービス手配ボタンをタップして現在地を送信してください
J002,TRB_001,エンジン始動不可,ROAD_004,WEATHER_001,TIME_006,PASS_001,PURPOSE_004,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_003,1.0,0.88,高,30分以内,ロードサービス,深夜・初回トラブルで不安大,深夜のため不安かと思いますが、30分以内に専門スタッフが駆けつけます。落ち着いてお待ちください。,ロードサービス手配ボタンをタップしてください。到着までアプリで状況確認できます
J003,TRB_002,走行中エンジン停止,ROAD_002,WEATHER_001,TIME_003,PASS_001,PURPOSE_001,DIST_002,AGE_002,FREQ_001,VEH_TYPE_002,HIST_004,1.0,1.54,最高,即時,緊急ロードサービス,高速道路上のため最優先,【緊急】高速道路上で危険です。直ちにハザードランプを点けて路肩に寄せてください。緊急ロードサービスを即座に手配します。,「緊急対応」ボタンを押してください。自動的に110番と連携し最優先で対応します
J004,TRB_003,ブレーキ異常,ROAD_003,WEATHER_001,TIME_003,PASS_001,PURPOSE_001,DIST_001,AGE_001,FREQ_002,VEH_TYPE_002,HIST_004,1.0,1.73,最高,即時,緊急ロードサービス,高齢者・走行中のため最優先,【緊急】ブレーキに異常があります。速度を落とし、安全な場所に停車してください。緊急ロードサービスを即座に手配します。,「緊急停車ガイド」を表示します。指示に従って停車後、緊急対応ボタンを押してください
J005,TRB_005,パンク・タイヤ損傷,ROAD_002,WEATHER_001,TIME_003,PASS_001,PURPOSE_001,DIST_002,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.9,1.41,最高,20分以内,ロードサービス,高速道路上のため優先,高速道路上でのパンクです。路肩に安全に停車し、車外には出ないでください。20分以内にロードサービスが到着します。,「高速道路パンク対応」ガイドを表示します。読了後、ロードサービス手配ボタンを押してください
J006,TRB_005,パンク・タイヤ損傷,ROAD_007,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.9,0.66,高,60分以内,ロードサービス,市街地・短距離,パンクを検知しました。60分以内にロードサービスがタイヤ交換にお伺いします。スペアタイヤの有無を確認してください。,ロードサービス手配ボタンを押してください。スペアタイヤ有無も選択してください
J007,TRB_006,エンジン警告灯,ROAD_003,WEATHER_001,TIME_003,PASS_001,PURPOSE_001,DIST_002,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.8,1.15,高,30分以内,ロードサービス,走行中のため早急対応,エンジン警告灯が点灯しています。走行継続は危険な可能性があります。30分以内にロードサービスが診断にお伺いします。,安全な場所に停車し、ロードサービス手配ボタンを押してください
J008,TRB_006,エンジン警告灯,ROAD_004,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.8,0.45,中,2時間以内,コールセンター,停車中のため猶予あり,エンジン警告灯が点灯しています。2時間以内にコールセンターからご連絡し、症状を確認します。緊急性は低いですが点検が必要です。,「症状チェック」を実施してください。結果を送信するとコールセンターから連絡します
J009,TRB_007,ブレーキ警告灯,ROAD_002,WEATHER_001,TIME_003,PASS_005,PURPOSE_002,DIST_003,AGE_002,FREQ_001,VEH_TYPE_001,HIST_004,0.85,2.16,最高,即時,緊急ロードサービス,妊婦運転・高速走行中・業務,【最優先】ブレーキ警告灯が点灯しています。妊婦の方の運転で高速道路を走行中です。速やかに路肩に停車してください。緊急ロードサービスを即座に手配します。,「緊急対応」ボタンを押してください。代替交通手段の手配も同時に行います
J010,TRB_008,バッテリー警告灯,ROAD_003,WEATHER_001,TIME_003,PASS_001,PURPOSE_001,DIST_002,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.75,1.08,高,30分以内,ロードサービス,走行継続困難の可能性,バッテリー警告灯が点灯しています。エンジン停止の可能性があるため、30分以内にロードサービスがお伺いします。,安全な場所に停車してください。ロードサービス手配ボタンを押すと現在地を自動送信します
J011,TRB_008,バッテリー警告灯,ROAD_004,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.75,0.43,中,3時間以内,コールセンター,駐車中のため猶予あり,バッテリー警告灯が点灯しています。3時間以内にコールセンターからご連絡します。バッテリー交換が必要な可能性があります。,「症状チェック」を実施してください。ディーラー予約も可能です
J012,TRB_011,ABS警告灯,ROAD_002,WEATHER_001,TIME_003,PASS_001,PURPOSE_001,DIST_002,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.6,0.94,高,60分以内,ロードサービス,高速走行中は早めの対応,ABS警告灯が点灯しています。急ブレーキ時の制御に影響する可能性があります。60分以内にロードサービスが診断します。,速度を落として走行し、安全な場所に停車後、ロードサービス手配ボタンを押してください
J013,TRB_011,ABS警告灯,ROAD_004,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.6,0.34,低,当日中,コールセンター,停車中のため猶予あり,ABS警告灯が点灯しています。当日中にコールセンターからご連絡します。点検の予約をおすすめします。,「ディーラー予約」ボタンから最寄りのディーラーを検索して予約してください
J014,TRB_013,エンジン異音,ROAD_002,WEATHER_001,TIME_003,PASS_001,PURPOSE_001,DIST_002,AGE_001,FREQ_002,VEH_TYPE_002,HIST_004,0.5,0.94,高,60分以内,ロードサービス,高齢者・高速走行中,エンジンから異音がしています。高速走行中のため、60分以内にロードサービスが点検します。,安全な場所に停車してください。ロードサービス手配ボタンを押してください
J015,TRB_013,エンジン異音,ROAD_004,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.5,0.32,低,当日中,コールセンター,停車中・点検推奨,エンジンから異音がしています。当日中にコールセンターからご連絡し、症状を確認します。点検をおすすめします。,「異音録音」ボタンで音を録音してください。診断に役立ちます
J016,TRB_014,ブレーキ異音,ROAD_003,WEATHER_001,TIME_003,PASS_004,PURPOSE_008,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.6,1.01,高,30分以内,ロードサービス,乳幼児同乗・安全最優先,ブレーキから異音がしています。乳幼児が同乗されていますので、安全を最優先し30分以内にロードサービスが点検します。,安全な場所に停車してください。ロードサービス手配ボタンを押してください
J017,TRB_017,ライト点灯不良,ROAD_003,WEATHER_001,TIME_005,PASS_001,PURPOSE_004,DIST_002,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.55,0.82,高,60分以内,ロードサービス,夜間走行は危険,ライトが点灯しません。夜間走行は危険ですので、60分以内にロードサービスがお伺いします。,ハザードランプを点けてください。ロードサービス手配ボタンを押してください
J018,TRB_017,ライト点灯不良,ROAD_003,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.55,0.42,中,当日中,コールセンター,日中は猶予あり,ライトが点灯しません。日中のため走行は可能ですが、当日中の修理をおすすめします。コールセンターからご連絡します。,「ディーラー予約」で最寄りのディーラーに予約してください。夜間走行は避けてください
J019,TRB_018,ワイパー作動不良,ROAD_003,WEATHER_003,TIME_003,PASS_001,PURPOSE_001,DIST_002,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.4,0.58,中,60分以内,ロードサービス,雨天時は視界確保必要,ワイパーが作動しません。雨天のため視界確保が重要です。60分以内にロードサービスがお伺いします。,安全な場所で停車してください。ロードサービス手配ボタンを押してください
J020,TRB_018,ワイパー作動不良,ROAD_003,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.4,0.28,低,翌日可,コールセンター,晴天時は緊急性低い,ワイパーが作動しません。晴天のため緊急性は低いですが、翌日までの修理をおすすめします。,「ディーラー予約」で修理予約をしてください。雨天走行は避けてください
J021,TRB_019,エアコン不調,ROAD_003,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.3,0.21,低,翌日可,コールセンター,快適性の問題,エアコンが正常に作動していません。快適性の問題のため、翌日までに点検をおすすめします。,「ディーラー予約」で点検予約をしてください
J022,TRB_019,エアコン不調,ROAD_003,WEATHER_005,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_001,FREQ_002,VEH_TYPE_002,HIST_004,0.3,0.49,中,当日中,コールセンター,高齢者・雪・暖房必要,エアコンが正常に作動していません。高齢者の方で雪の天候のため、暖房確保が重要です。当日中にコールセンターからご連絡します。,「緊急暖房ガイド」を表示します。代替手段をご案内します。ディーラー予約も可能です
J023,TRB_020,パワーウィンドウ不良,ROAD_004,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.25,0.14,低,翌日可,コールセンター,緊急性低い,パワーウィンドウが作動しません。緊急性は低いですが、翌日までの修理をおすすめします。,「ディーラー予約」で修理予約をしてください
J024,TRB_023,燃料漏れ,ROAD_004,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.9,0.51,中,30分以内,緊急ロードサービス,火災の危険性あり,【警告】燃料漏れを検知しました。火災の危険があります。エンジンを停止し、車から離れてください。30分以内に緊急ロードサービスが対応します。,「緊急対応」ボタンを押してください。火気厳禁です。安全な場所に避難してください
J025,TRB_023,燃料漏れ,ROAD_003,WEATHER_001,TIME_003,PASS_001,PURPOSE_001,DIST_002,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.9,1.30,最高,即時,緊急ロードサービス,即座に停車・対応必要,【最高警告】走行中の燃料漏れです。直ちに安全な場所に停車し、エンジンを停止してください。緊急ロードサービスを即座に手配します。,「緊急停車ガイド」を表示します。指示に従い停車後、緊急対応ボタンを押してください
J026,TRB_025,ドア開閉不良,ROAD_004,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.4,0.23,低,当日中,コールセンター,駐車中のため緊急性低い,ドアの開閉に不具合があります。駐車中のため緊急性は低いですが、当日中の修理をおすすめします。,「ディーラー予約」で修理予約をしてください。「ドア開閉ガイド」も参照できます
J027,TRB_026,ロック不良,ROAD_004,WEATHER_001,TIME_006,PASS_001,PURPOSE_004,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.45,0.43,中,60分以内,コールセンター,深夜・防犯上早めの対応,ドアロックに不具合があります。深夜のため防犯上の懸念があります。60分以内にコールセンターからご連絡し、対処方法をご案内します。,「ロック応急処置ガイド」を表示します。コールセンター連絡ボタンを押してください
J028,TRB_029,ACC作動不良,ROAD_002,WEATHER_001,TIME_003,PASS_001,PURPOSE_003,DIST_003,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.5,0.70,中,当日中,コールセンター,代替機能で対応可能・レジャー,ACCが作動していません。通常のクルーズコントロールは使用可能です。当日中にコールセンターからご連絡します。,「代替運転支援機能」ガイドを表示します。ディーラー予約も可能です
J029,TRB_029,ACC作動不良,ROAD_004,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.5,0.29,低,翌日可,コールセンター,緊急性低い,ACCが作動していません。駐車中のため緊急性は低いですが、翌日までの点検をおすすめします。,「ディーラー予約」で点検予約をしてください
J030,TRB_002,走行中エンジン停止,ROAD_006,WEATHER_001,TIME_003,PASS_005,PURPOSE_002,DIST_003,AGE_002,FREQ_001,VEH_TYPE_001,HIST_004,1.0,2.38,最高,即時,緊急ロードサービス,山間部・妊婦運転・業務で最優先,【最高優先】山間部で走行中にエンジンが停止しました。妊婦の方の運転です。直ちに安全な場所に停車してください。緊急ロードサービスと救護車両を即座に手配します。,「緊急対応」ボタンを押してください。医療サポートも手配可能です。代替交通手段も同時手配します
J031,TRB_005,パンク・タイヤ損傷,ROAD_003,WEATHER_001,TIME_006,PASS_002,PURPOSE_004,DIST_002,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.9,1.71,最高,20分以内,ロードサービス,深夜・子供同乗で優先,深夜にパンクが発生しました。お子様が同乗されています。20分以内にロードサービスが到着します。車内で安全にお待ちください。,ロードサービス手配ボタンを押してください。「子供の安全ガイド」も表示します
J032,TRB_010,冷却水温警告灯,ROAD_002,WEATHER_001,TIME_003,PASS_001,PURPOSE_003,DIST_003,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.75,1.09,高,30分以内,ロードサービス,エンジン損傷の危険性・長距離移動,冷却水温警告灯が点灯しています。長距離移動中でエンジン過熱の危険があります。30分以内にロードサービスがお伺いします。,安全な場所に停車し、エンジンを停止してください。ロードサービス手配ボタンを押してください
J033,TRB_012,エアバッグ警告灯,ROAD_003,WEATHER_001,TIME_003,PASS_004,PURPOSE_005,DIST_001,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.65,1.26,最高,30分以内,ロードサービス,乳幼児の安全最優先・送迎中,エアバッグ警告灯が点灯しています。乳幼児が同乗されていますので、安全を最優先し30分以内にロードサービスが点検します。,安全な場所に停車してください。ロードサービス手配ボタンを押してください
J034,TRB_016,ハンドル振動,ROAD_002,WEATHER_001,TIME_003,PASS_001,PURPOSE_001,DIST_003,AGE_001,FREQ_002,VEH_TYPE_002,HIST_004,0.5,1.03,高,60分以内,ロードサービス,高齢者・高速走行で不安・長距離,ハンドルに振動があります。高速走行中で長距離移動のため、60分以内にロードサービスが点検します。,速度を落として走行し、安全な場所に停車後、ロードサービス手配ボタンを押してください
J035,TRB_021,異臭,ROAD_003,WEATHER_001,TIME_003,PASS_001,PURPOSE_001,DIST_002,AGE_002,FREQ_002,VEH_TYPE_002,HIST_004,0.35,0.51,中,当日中,コールセンター,原因確認が必要,車内で異臭がします。原因確認が必要です。当日中にコールセンターからご連絡し、症状を確認します。,「異臭チェックリスト」を実施してください。結果を送信するとコールセンターから連絡します
J036,TRB_002,走行中エンジン停止,ROAD_002,WEATHER_005,TIME_006,PASS_002,PURPOSE_002,DIST_003,AGE_004,FREQ_005,VEH_TYPE_005,HIST_001,1.0,3.85,最高,即時,緊急ロードサービス,高速・雪・深夜・子供同乗・初心者・ペーパードライバー・社用車・頻発履歴で複合リスク最大,【最高警戒】高速道路・雪・深夜で走行中にエンジンが停止しました。お子様同乗・初心者ドライバーです。直ちにハザードランプを点け、110番通報します。緊急ロードサービスと警察を即座に手配します。,「最高優先緊急対応」ボタンを押してください。自動的に110番・会社・家族に通報します。救護と代替交通を手配します
J037,TRB_005,パンク・タイヤ損傷,ROAD_004,WEATHER_001,TIME_003,PASS_001,PURPOSE_006,DIST_001,AGE_003,FREQ_003,VEH_TYPE_003,HIST_005,0.9,0.48,中,60分以内,ロードサービス,駐車中・若年層・週1回運転・レンタカー・トラブルなし履歴で優先度やや低,パンクを検知しました。駐車中のため60分以内にロードサービスがタイヤ交換にお伺いします。レンタカーのため、レンタカー会社にも連絡します。,ロードサービス手配ボタンを押してください。レンタカー会社への自動通知も行います
